human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000151575:TEX9	1.68	1.83	2.52	1.89	1.83	1.56	0.49	0.75	7.31	3.44
ENSG00000151576:QTRT2	10.66	10.67	12.01	6.69	3.42	2.21	2.23	3.06	1.33	0.88
ENSG00000151577:DRD3	0	0	0.1	0	0.04	0	0	0.04	0	0
ENSG00000151611:MMAA	3.54	4.2	13.21	16.6	15.91	10.47	1.56	2.1	3.34	3.9
ENSG00000151612:ZNF827	5.23	4.36	7.67	3.14	3.48	1.67	0.15	0.34	1.89	3.09
ENSG00000151615:POU4F2	0	0	0.03	0	0	0	0.01	0	0	0
ENSG00000151617:EDNRA	7.8	12.95	12.67	9.97	11.66	6.3	1.02	1.77	2.74	1.55
ENSG00000151623:NR3C2	1.62	2.78	0.91	0.84	0.32	0.71	0.29	0.86	1.22	1.04
ENSG00000151640:DPYSL4	0.16	0.17	0.03	0	0.22	0.43	0.03	0.05	0	0.6
ENSG00000151655:ITIH2	0.1	0	0.13	15.58	0.15	0.03	0.4	1.43	1.15	2.28
ENSG00000151657:KIN	10.13	16.5	22.03	17.64	22.32	18.4	2.4	3.98	26.25	12.35
ENSG00000151665:PIGF	14.18	25.72	11.1	7.3	15.27	17.65	2.72	5.59	12.96	40.7
ENSG00000151687:ANKAR	2.33	4.51	0.01	0	0	0	0.02	0.02	0.02	0
ENSG00000151689:INPP1	10.59	14.67	3.12	3.79	11.47	9.67	1.54	2.95	9.68	9.51
ENSG00000151690:MFSD6	16.12	10.67	2.7	7.23	30	28.77	2.27	4.51	15.63	7.88
ENSG00000151692:RNF144A	6.26	5.71	9.83	5.03	6.9	3.93	0.84	2.06	4.39	1.99
ENSG00000151693:ASAP2	8.01	9.72	14.88	10.34	12.1	13.69	1.34	6.02	97.3	13.5
ENSG00000151694:ADAM17	32.6	34.5	34.99	28.82	27.57	28.52	2.96	6.51	64.62	15.66
ENSG00000151702:FLI1	26.35	41.04	4.02	3.8	15.98	16.18	5.18	8.85	10.16	6
ENSG00000151704:KCNJ1	0.04	0.09	0.04	0	0.17	0.05	0	0	10.11	0.8
ENSG00000151715:TMEM45B	0.86	1.55	1.76	3.14	45.19	38.72	0.12	0.35	11.43	8.54
ENSG00000151718:WWC2	8.64	14.04	41.38	19.64	456.44	371.79	3.77	7.24	19.86	1.14
ENSG00000151726:ACSL1	6.44	8.39	10.43	28.99	117.75	142.05	1.63	2.89	131.57	16.85
ENSG00000151743:AMN1	9.04	13.35	17.67	19.92	5.89	4.28	1.67	2.67	34.8	20.73
ENSG00000151746:BICD1	11.9	13.67	1.1	0.51	1.11	0.97	0.35	0.54	3.97	0.62
ENSG00000151748:SAV1	22.86	23.28	57.8	64.99	66.5	49.05	1.37	2.95	8.25	4.24
ENSG00000151773:CCDC122	5.72	10.97	5.03	5.04	0	0	0.46	0.98	0.27	0.35
ENSG00000151778:SERP2	1.79	2.57	5.6	7.17	0.38	0.08	0.36	1.33	0	0.96
ENSG00000151779:NBAS	6.6	9.21	10.95	10.66	6.53	5.89	1.33	2.37	5.21	4.01
ENSG00000151790:TDO2	0.53	0.25	5.6	17.19	0	0.05	0	0	1.13	0.07
ENSG00000151806:GUF1	8.39	11.41	6.79	6.65	4.55	3.26	1.25	2.59	5.45	9.69
ENSG00000151812:SLC35F4	0.2	0.06	0.38	0.14	0	0	0	0	0	0
ENSG00000151834:GABRA2	0.07	0.22	0	0.02	0	0	0.04	0.1	0	0
ENSG00000151835:SACS	0.55	0.63	2.42	1.3	2.41	1.42	0.45	1.02	0.29	0.12
ENSG00000151838:CCDC175	0	0	0	0	0	0.1	0.02	0.02	0	0
ENSG00000151849:CPAP	6.65	7.85	8.79	6.29	9.65	5.82	0.51	1.96	2.93	2.09
ENSG00000151876:FBXO4	8.41	9.07	10.98	14.17	4.72	4.21	1.11	2.54	16.04	18.88
ENSG00000151881:TMEM267	6.79	6.99	10.71	16.1	2.39	3	0.4	0.76	19.44	8.92
ENSG00000151883:PARP8	11.49	13.66	3.67	2.44	5.76	4.51	0.56	0.9	1.29	1.64
ENSG00000151892:GFRA1	0.02	0.04	0.43	0.12	0	0	0.05	0.1	0.41	0
ENSG00000151893:CACUL1	37.38	35.43	36.29	31.58	9.24	5.44	2.99	5.8	14.08	6.95
ENSG00000151917:BEND6	0.44	1.08	7.24	2.77	0.28	0.1	0.02	0.07	0.19	0.18
ENSG00000151929:BAG3	33.71	38.29	72.39	59.86	48.2	27.43	1.98	12.03	12.35	11.36
ENSG00000151948:GLT1D1	0.12	0.21	1.18	1.17	1.77	0.66	0	0	181.43	12.56
ENSG00000151952:TMEM132D	0	0	0.01	0	0.04	0.33	0.03	0.07	0.06	0
ENSG00000151962:RBM46	0	0.08	2	2.6	0	0	0.02	0.08	0.67	0.03
ENSG00000151967:SCHIP1	3.8	9.8	17.72	14.45	16.75	18.03	2.88	5.03	14.36	25.37
ENSG00000152049:KCNE4	4.1	7.9	2.16	1.53	4.23	4.21	0.29	0.64	0.86	1.01
ENSG00000152061:RABGAP1L	28.05	50.65	27.46	21.1	11.16	6.42	4.11	7.49	12.02	3.16
ENSG00000152078:TLCD4	2.45	3.72	0.86	0.83	4.27	1.24	0.62	1.37	5.32	1.44
ENSG00000152092:ASTN1	0	0.06	2.03	0.65	0.03	0	0.02	0.14	0.34	0.04
ENSG00000152102:FAM168B	41.14	47.22	82.07	53.48	33.24	29.89	3.62	7.74	6.62	2.03
ENSG00000152104:PTPN14	9.25	11.78	12.85	7.87	4	3.32	1.25	5.93	2.16	0.49
ENSG00000152128:TMEM163	0.61	5.94	0.25	1.02	6.76	3.65	0	0	4.09	1.47
ENSG00000152133:GPATCH11	3.59	5.68	19.49	15.99	11.24	11.14	1.82	3.26	58.66	27.96
ENSG00000152154:TMEM178A	5.48	8.29	22.72	6.67	3.27	2.93	0.23	0.33	0.99	3.64
ENSG00000152192:POU4F1	0.05	0.09	0.64	0.69	1.79	2.59	0.06	0.22	0	0
ENSG00000152208:GRID2	0.06	0.02	0	0.02	0	0	0.04	0.12	0.04	0
ENSG00000152213:ARL11	0.87	1.45	1.39	1.07	1.33	1.11	0.07	0.12	3.39	3.86
ENSG00000152217:SETBP1	2.53	6.29	4	1.62	1.65	0.85	0.3	0.91	3.96	0.22
ENSG00000152219:ARL14EP	8.1	9.1	17.69	11.24	57.03	52.2	4.71	7.37	40.45	5.27
ENSG00000152223:EPG5	13.95	19.67	9.14	5.27	9.67	8.07	1.91	4.68	3.69	3.8
ENSG00000152229:PSTPIP2	12.22	18.28	1.01	3.61	9.22	10.06	2	3.75	4.29	1.01
ENSG00000152234:ATP5F1A	134.24	133.53	199.4	184.7	311.35	312.39	19.16	28.96	513.62	471.7
ENSG00000152240:HAUS1	7.67	9.97	10.04	9.32	25.8	22.82	1.14	1.92	49.01	36.06
ENSG00000152242:ARK2N	10.44	12.17	9.29	5.45	46.12	38.5	1.56	3.79	23.21	4.74
ENSG00000152253:SPC25	4.36	3.01	8.27	5.25	13.54	9.04	0.95	0.85	7.74	1.33
ENSG00000152254:G6PC2	0.16	0.02	0.13	0	0	0	0	0	0	0
ENSG00000152266:PTH	0	0	0	0	0	0	0	0	0	1.42
ENSG00000152270:PDE3B	3.71	7.02	1.69	2.11	1.66	1.35	0.73	1.61	7.74	4.92
ENSG00000152284:TCF7L1	2.06	4.92	25.58	11.14	28.84	34.68	0.6	2.96	5.58	9.44
ENSG00000152291:TGOLN2	78.36	75.66	158.15	124.63	50.46	41.01	7.75	16.8	89.33	33.07
ENSG00000152348:ATG10	8.35	9.35	5.34	5.52	3.08	3.28	1.01	1.95	4.69	3.22
ENSG00000152359:POC5	7.5	10.5	7.89	5.55	6.95	6.2	0.85	1.33	3.74	3.84
ENSG00000152377:SPOCK1	1.85	2.52	3.43	3.16	97.55	48.63	0.13	0.52	0.43	0.14
ENSG00000152380:FAM151B	4.65	4.98	2.27	1.94	5.33	5.53	1.82	2.06	0.9	1.09
ENSG00000152382:TADA1	15.53	15.05	18.93	15.1	13.65	13.03	2.42	3.59	10.41	4.98
ENSG00000152402:GUCY1A2	9.9	10.01	0.7	0.93	0	0	3.09	6.73	1.41	0.1
ENSG00000152404:CWF19L2	5.43	7.02	5.26	3.14	16	14.81	4.14	6.94	14.37	0.7
ENSG00000152409:JMY	6.7	7.11	18.3	10.75	6.95	5.86	1.98	5.34	49.91	6.5
ENSG00000152413:HOMER1	6.5	7	8.35	5.16	4.61	1.58	0.69	2.15	18.21	1.08
ENSG00000152430:BOLL	0.04	0.17	0.29	0	0.17	0	0	0	2.12	0.31
ENSG00000152455:SUV39H2	4.9	4.22	5.53	2.41	4.08	3.17	1.02	1.5	0.4	0.63
ENSG00000152457:DCLRE1C	4.92	4.92	7.59	3.82	8.41	4.81	0.55	1.17	7.91	6.43
ENSG00000152463:OLAH	128.38	50.16	0.03	1.08	0	0	0	0	0	0.1
ENSG00000152464:RPP38	12.8	12.57	7.5	10.91	3.89	2.13	0.23	0.39	6.8	10.9
ENSG00000152465:NMT2	10.48	8.69	33.71	19.35	1.56	1.7	0.08	0.18	2.22	2.5
ENSG00000152492:CCDC50	19.78	25.29	28.36	17.13	22.45	19.15	4.36	7.87	6.28	4.27
ENSG00000152503:TRIM36	0.4	1.39	1.8	1.18	4.51	2.03	1.03	2.11	7.7	1.24
ENSG00000152518:ZFP36L2	5.61	13.17	38.67	38.97	117.51	84.58	5.01	11.53	10.89	17.99
ENSG00000152520:PAN3	21.83	29.91	75.33	38.55	66.19	39.36	4.07	9.25	10.67	2.14
ENSG00000152527:PLEKHH2	2.06	7.06	4.76	2.63	7.01	2.65	0.38	1.01	2.42	0.65
ENSG00000152558:TMEM123	104.02	75.83	124.53	83.91	65.62	20.7	1.96	3.66	16.68	22.72
ENSG00000152578:GRIA4	0.05	0.37	0.25	0.1	0.1	0.22	0.03	0.07	0.33	0.07
ENSG00000152580:IGSF10	0.27	1.06	0.47	0.42	0.41	0.3	0.08	0.25	1.24	0.67
ENSG00000152582:SPEF2	4.44	8	0.14	0.07	0.17	0.29	0.05	0.11	0.6	0.13
ENSG00000152592:DMP1	0.07	0.02	0.28	0.03	0.02	0	0.15	0.22	0.23	0.16
ENSG00000152595:MEPE	0.34	0.09	0	0	0.04	0.1	0.05	0	0	0
ENSG00000152601:MBNL1	15.56	26.44	20.31	15.46	45.9	43.79	6.9	12.14	6.45	0.9
ENSG00000152611:CAPSL	0	0.07	0.23	0.19	0	0	0.09	0.12	2.54	3.51
ENSG00000152620:NADK2	13.42	14.94	7.64	7.32	11.33	13.33	1.5	2.89	13.43	5.62
ENSG00000152642:GPD1L	18.64	17.42	10.72	14.74	48.7	24.08	7.24	11.81	31.69	5.69
ENSG00000152661:GJA1	70.1	111.89	107.36	114.65	104.04	83.2	51.43	97.5	1520.46	361.32
ENSG00000152669:CCNO	0.53	0.1	0.28	1.65	22.11	19.72	0.24	0.34	0	0
ENSG00000152670:DDX4	0.14	0.04	2.06	1	0.03	0	0.08	0.17	0.53	0.67
ENSG00000152672:CLEC4F	0	0.14	0	0	3.81	1.07	0	0	0.08	0
ENSG00000152689:RASGRP3	9.51	9.65	16.24	9.1	5.09	5.78	4.17	6.2	5.42	3.95
ENSG00000152700:SAR1B	30.55	31.89	72.22	64.57	50.18	35.34	12.37	20.42	12.57	17.4
ENSG00000152705:CATSPER3	0.36	0.32	0.04	0	0.13	0.13	0.65	1.3	0	0.06
ENSG00000152749:GPR180	1.72	2.62	26.53	22.71	4.31	4.61	3.83	6.95	2.89	1.57
ENSG00000152760:DYNLT5	5.08	7.91	0	0	2.68	0.05	0	0	0.65	0.16
ENSG00000152763:DNAI4	1.21	2.43	1.76	1.08	0.33	0.21	0.01	0	9.8	2.38
ENSG00000152766:ANKRD22	0	0.12	0.31	0	6.6	3.13	4.76	4.09	2.87	2.61
ENSG00000152767:FARP1	19.13	27.64	29.35	16.17	57.9	61.07	5.15	14.68	10.12	8.39
ENSG00000152779:SLC16A12	5.95	6.27	7.51	6.32	14.7	4.94	0.04	0.1	2.13	13.41
ENSG00000152782:PANK1	2.04	2.35	0.99	0.97	12.5	10.68	0.66	1.3	10.29	0.82
ENSG00000152784:PRDM8	8.35	7.12	0.07	0	1.65	1.25	0.05	0.21	0.68	1.93
ENSG00000152785:BMP3	0.01	0.05	0.15	0.06	0.66	0.08	0.05	0.63	3.68	22.02
ENSG00000152818:UTRN	33.63	42.26	62.96	32.86	7.81	6.43	7.19	17.96	53.53	4.11
ENSG00000152894:PTPRK	13.97	18.55	17.29	18.38	23.55	21.93	7.21	13.24	24.16	9.25
ENSG00000152910:CNTNAP4	0.07	0.79	0.01	0	0	0	0.07	0.24	0.15	0.03
ENSG00000152932:RAB3C	0.02	0.5	0	0.07	0.24	0.12	0	0.06	0.16	0
ENSG00000152936:LMNTD1	0.12	0.2	0.41	0.27	0	0.06	0.13	0.05	0.19	0.09
ENSG00000152939:MARVELD2	10.36	8.11	5.68	6.98	32.04	33.16	2.73	3.83	8.69	3.08
ENSG00000152942:RAD17	15.29	20.7	18.06	16.47	22.95	23.58	2.31	2.95	30.92	16.57
ENSG00000152944:MED21	13.47	14.85	76.98	60.67	61.86	57.76	0.9	1.49	4.29	42.57
ENSG00000152952:PLOD2	14.2	29.28	52.61	62.55	18.01	16.23	2.35	3.49	26.89	11.07
ENSG00000152953:STK32B	1.35	3.51	0.61	0.45	0	0	0.02	0.06	0.28	0
ENSG00000152954:NRSN1	0.05	0.11	0.09	0.11	0.04	0	0.02	0.02	0.13	0.12
ENSG00000152969:JAKMIP1	0	0	0.31	0.63	0.13	0	0	0.03	0.11	0
ENSG00000152977:ZIC1	0	0	0.02	0.31	0	0	0	0	0	0
ENSG00000152990:ADGRA3	13.23	22.89	26.46	11.58	21.84	15.85	4.61	9.65	3.21	4.02
ENSG00000153002:CPB1	0.26	0.76	0	0	0.12	0.17	0	0	5.9	2.23
ENSG00000153012:LGI2	0.91	2	2.16	0.78	0	0.04	0.06	0.2	0.16	0
ENSG00000153015:CWC27	9.49	15.62	8.83	8.6	9.9	10.58	1.49	3.13	14.78	8.8
ENSG00000153029:MR1	5.5	8.21	4.96	5.73	10.34	5.03	1.93	4.79	8	9.21
ENSG00000153037:SRP19	90.34	107.63	62.28	70.19	94.76	82.37	3.95	7.95	163	182.46
ENSG00000153044:CENPH	4.75	4.47	1.25	0.96	11.6	8.25	1.11	1.22	8.03	5.22
ENSG00000153060:TEKT5	0.22	0.09	0.08	0.14	0	0	0	0	3.28	3.34
ENSG00000153064:BANK1	0.7	0.58	0.37	0.25	1.08	1.07	0.52	0.83	0.03	0
ENSG00000153066:TXNDC11	20.89	30.91	34.66	23.38	36.12	29.82	3.64	10.4	23.35	16.17
ENSG00000153071:DAB2	721.46	773.5	33.16	245.33	85.97	57.29	13.06	30.03	122.44	22.36
ENSG00000153086:ACMSD	0.37	0.42	0.14	0.08	0	0	0	0	0.43	0.17
ENSG00000153093:ACOXL	14.91	4.94	0.02	0.05	0.13	0.37	0.03	0.01	0.03	0.16
ENSG00000153094:BCL2L11	10.53	14.28	8.7	6.17	14.9	6.51	1.7	5.14	2.17	0.51
ENSG00000153107:ANAPC1	10.02	12.51	48.25	42.75	9.68	8.85	1.73	3.13	4.19	4.96
ENSG00000153132:CLGN	0.07	0.13	0.03	0	0.35	0.5	0.02	0.01	1.86	2.39
ENSG00000153140:CETN3	18.02	29.09	62.88	61.69	51.76	36.36	12.48	21.11	194.23	74.13
ENSG00000153147:SMARCA5	22.76	24.76	29.88	23.92	146.1	111.2	7.16	13.04	53.48	14.06
ENSG00000153157:SYCP2L	2.86	3.01	0	0	0.16	0.22	0	0	0.13	0.1
ENSG00000153162:BMP6	11.4	18.32	9.07	9.59	15.03	11.69	1.6	5.54	5.68	1.95
ENSG00000153187:HNRNPU	171.61	215.48	253.95	164.3	244.83	208.44	36.67	84.14	423.02	200.21
ENSG00000153201:RANBP2	26.66	30.74	43.02	23.22	51.77	44.51	9.69	19.63	26.3	6.22
ENSG00000153207:AHCTF1	14.83	17.66	34.32	22.75	17.26	13.81	6.79	10.35	17.07	4.78
ENSG00000153208:MERTK	10.36	15.47	21.56	15.78	26.66	26.46	1.06	2.05	13.62	5.98
ENSG00000153214:TMEM87B	35.14	35.25	72.35	49.81	33.49	28.56	4.97	7.78	10.06	1.81
ENSG00000153233:PTPRR	0.91	0.37	3.1	4.18	1.42	1.15	1.11	2.3	33.65	25.74
ENSG00000153234:NR4A2	1.16	1.13	2.3	1.2	2.13	2.82	0.34	1.23	1.93	1.98
ENSG00000153246:PLA2R1	1.95	6.03	9.45	13.45	9.41	9.72	45.18	56.52	1.4	0.48
ENSG00000153250:RBMS1	191.51	187.15	153.88	108.17	98.16	76.4	10.8	18.46	79.97	54.52
ENSG00000153253:SCN3A	0.09	0.09	0.02	0	0.02	0.06	0.02	0.05	2.13	0.7
ENSG00000153266:FEZF2	0	0	0	0	0	0	0	0	0	0
ENSG00000153283:CD96	0.97	0.8	0.19	0.15	0.62	0.19	0.02	0.01	0	0
ENSG00000153291:SLC25A27	5.75	8.32	5.15	3.11	7.69	10.39	1.72	2.06	0.16	0.2
ENSG00000153292:ADGRF1	0.34	0.24	0.24	0.06	1.38	1.33	0	0	0.28	0.12
ENSG00000153294:ADGRF4	3.66	4.44	5.77	4.96	3.31	3.68	0.56	0.3	0.23	0.38
ENSG00000153310:CYRIB	31.95	39.08	45.98	31.16	44.42	38.31	6.39	6.92	18.1	13.17
ENSG00000153317:ASAP1	31.56	45.96	30.46	23.95	14.74	12.19	1.09	3.25	11.57	1.35
ENSG00000153339:TRAPPC8	25.26	30.81	25.23	20.64	26.09	25.16	8.62	12.79	11.81	6.87
ENSG00000153347:FAM81B	0.11	0.13	0	0	0.11	0	0	0.01	0.83	1.45
ENSG00000153391:INO80C	37.46	53.03	20.9	23	40.68	33.43	7.12	7.45	8.46	16.24
ENSG00000153395:LPCAT1	19.08	43.18	25.25	21.52	44.44	55.04	0.41	1.2	12.25	1.22
ENSG00000153406:NMRAL1	24.72	23.35	1.18	1.66	32.38	17.02	0.81	2.18	12.68	18.2
ENSG00000153446:C16orf89	0.36	0.6	17.6	21.62	0	0	0.02	0.03	0.61	0.61
ENSG00000153485:LYSET	11.05	11.95	10.35	7.11	14	10.38	10.7	18.07	14.63	37.95
ENSG00000153487:ING1	6.11	7.22	42.86	38.44	98.55	69.27	2.02	5.53	63.17	22.45
ENSG00000153531:ADPRHL1	2.43	2.18	0.14	0.31	0.22	1.06	0.03	0.04	0.27	0.28
ENSG00000153551:CMTM7	5.59	8.62	63.36	71.69	15.37	16.79	0.87	1.56	0.5	2.94
ENSG00000153561:RMND5A	14.36	15.4	44.75	30	41.33	26.64	9.18	17.91	26.11	17.91
ENSG00000153563:CD8A	0.39	0.71	0.25	0	0.44	0.28	0	0	0	0.06
ENSG00000153574:RPIA	22.65	30.56	71.01	54.37	20.77	9.63	2.92	6.47	88.77	154.16
ENSG00000153707:PTPRD	6.63	13.98	1.05	2.38	0.43	0.39	0.33	0.95	0.47	0.28
ENSG00000153714:LURAP1L	7.75	12.42	2.42	4.77	3.69	3.6	9.48	13.07	74.02	41.51
ENSG00000153721:CNKSR3	3.58	5.2	5.3	5.53	29.82	21.63	1.11	1.94	7.11	5.17
ENSG00000153767:GTF2E1	7.44	7.82	11.4	8.45	8.44	9.86	0.82	1.13	8.73	6.15
ENSG00000153789:CIBAR2	0.03	0.09	0.08	0	0	0	0	0	2.26	0.88
ENSG00000153790:SPMIP4	1.82	1.9	1.04	0.97	0.11	0.21	0.02	0.03	0.09	0.08
ENSG00000153802:TMPRSS11D	0	0	0.05	0.17	0	0.08	0	0	0.04	0
ENSG00000153814:JAZF1	7.12	13.91	9.76	10.21	6.67	5.98	1.15	2.24	2.58	3.85
ENSG00000153815:CMIP	33.34	48.23	46.25	33.08	16.64	11.37	2.4	8.5	21.64	11.46
ENSG00000153820:SPHKAP	0	0	0	0.04	0	0	0	0	0.53	0.2
ENSG00000153822:KCNJ16	0.1	0.43	0	3.72	7.45	2.89	0.02	0	1.77	2.62
ENSG00000153823:PID1	21.52	35.52	1.48	2.44	39.06	26.95	1.91	4.99	4.77	1.54
ENSG00000153827:TRIP12	100.87	101.03	262.26	185.56	110.43	115.3	15.63	34.01	62.39	16.67
ENSG00000153832:FBXO36	3.6	3.72	32.34	16.93	11.6	13.97	0.06	0.21	0.72	1.27
ENSG00000153885:KCTD15	5.61	8.86	28.13	14.06	23.59	23.25	1.16	3.92	11.03	6.96
ENSG00000153898:MCOLN2	1.5	1.36	0.28	4.44	1.11	0.98	10.94	13.75	1.52	2.62
ENSG00000153902:LGI4	1.15	4.07	0.22	1.25	1.1	0.74	0.11	0.42	0.82	1.66
ENSG00000153904:DDAH1	4.47	7.45	9.87	17.98	7.46	5.3	0.27	0.87	2.41	3.06
ENSG00000153922:CHD1	33.22	40.86	25.8	14.08	15.93	14.01	5.61	10.03	21.42	10.41
ENSG00000153930:ANKFN1	4.22	4.2	0.18	0.22	0.06	0	0	0	0.01	0.05
ENSG00000153933:DGKE	1.89	2.92	7.59	3.72	4.56	3.45	0.72	1.65	2.38	0.6
ENSG00000153936:HS2ST1	4.89	6.53	10.57	8.23	3.41	2.85	3	5.51	20.15	6.68
ENSG00000153944:MSI2	35.82	28.4	14.52	12.81	25.18	9.79	1.04	1.8	18.34	7.76
ENSG00000153956:CACNA2D1	1.01	2.4	2.63	2.05	1.76	1.78	1.12	2	3.7	0
ENSG00000153975:ZUP1	5.55	7.24	11.08	8.02	13.27	12.32	2.32	4.38	13.05	10.97
ENSG00000153989:NUS1	20.91	22.6	39.4	30.47	29.03	19.59	7.9	10.01	13.31	7.95
ENSG00000153993:SEMA3D	0.19	0.31	0.13	0.05	0.2	0	0.02	0.05	1.01	0.02
ENSG00000154001:PPP2R5E	16.77	22.24	29.21	21.53	24.85	19.28	4.1	7.8	36.3	6.7
ENSG00000154007:ASB17	0	0.06	1	0.25	0	0	0	0.02	0	0
ENSG00000154025:SLC5A10	0.06	0.33	0.1	0	0.08	0.08	0.15	0.14	0.55	1.69
ENSG00000154059:IMPACT	13.63	14.57	51.04	45.34	9.88	8.38	1.73	2.82	9.89	12.01
ENSG00000154065:ANKRD29	0.11	0.26	1.8	1.55	2.96	3.79	0.76	1.88	0.22	0
ENSG00000154080:CHST9	0	0.01	0.2	0	0.57	0.62	0.81	1.69	0	0
ENSG00000154096:THY1	18.76	43.03	4.99	3.21	41.89	38.79	0.16	0.45	28.28	68
ENSG00000154099:DNAAF1	1.87	4.85	0.48	0.46	3.12	0.4	0.03	0.09	3.02	2.15
ENSG00000154102:C16orf74	18.68	22.25	1.84	3.67	14.3	18.05	0.54	2.45	6.08	4.43
ENSG00000154114:TBCEL	8.35	8.67	8.04	13.61	6.99	5.5	1.16	1.86	6.57	1.12
ENSG00000154122:ANKH	13.76	16.97	62.52	47.38	77.56	115.23	1.21	3.18	39.55	24.08
ENSG00000154124:OTULIN	8.74	6.9	27.28	33.01	14.16	11.56	3.05	5.23	69.86	26.89
ENSG00000154127:UBASH3B	10.78	10.86	4.36	3.21	22.76	18.8	5.82	9.97	4	4.9
ENSG00000154133:ROBO4	22.52	33.45	14.78	14.48	23.34	35.69	1.02	3.12	7.74	9.88
ENSG00000154143:PANX3	0.17	0.45	0.04	0.22	0	0	0	0.03	0	0.06
ENSG00000154144:TBRG1	29.52	39.59	215.79	195.36	38.51	29.02	2.52	5.01	45.69	33.18
ENSG00000154146:NRGN	4.97	5.59	39.38	44.37	7.72	1.68	0.86	1.33	0.08	0.42
ENSG00000154153:RETREG1	4.96	10.23	76.65	121.65	12.54	6.36	7.55	11.32	15.86	0.74
ENSG00000154162:CDH12	0.36	0.23	0.01	0	0	0.02	0	0	0.09	0.02
ENSG00000154174:TOMM70	25.29	25.7	27.62	19.46	72.42	59.16	12.54	17.2	16.35	9.46
ENSG00000154175:ABI3BP	6.2	16.9	0.23	0.06	0.43	0.25	0.11	0.29	0.7	0.88
ENSG00000154188:ANGPT1	5.88	10.41	1.73	1.36	0.14	0.25	0.58	0.99	2.15	0.58
ENSG00000154222:CC2D1B	21.35	27.79	40.54	36.59	20.52	22.95	1.28	3.85	38.96	40.06
ENSG00000154227:CERS3	0.01	0.21	0.76	0.58	0.18	0.27	0.02	0.03	18.05	4.48
ENSG00000154237:LRRK1	10.51	20.3	10.38	9.84	13.69	10.54	2.04	5.23	5.45	1.98
ENSG00000154265:ABCA5	30.94	39.92	13.99	6.18	13.48	14.06	0.86	1.48	0.79	0.21
ENSG00000154269:ENPP3	0.11	0.27	2.89	8.37	1.49	1.02	0.14	0.23	74.13	27.83
ENSG00000154274:PGCKA1	50.33	55.13	0.75	1.01	18.79	18.6	0.3	1.52	10.86	7.62
ENSG00000154277:UCHL1	0.51	1.23	69.44	50.51	2.89	2.09	2.85	6.34	5.87	1.57
ENSG00000154309:DISP1	2.15	5.76	9.82	5.91	6.13	5.76	1.7	5.65	1.24	2.05
ENSG00000154310:TNIK	1.03	3.72	3.16	1.11	27.32	24.11	4.82	10.23	1.97	0.69
ENSG00000154319:FAM167A	9.15	5.22	20.87	7.34	27.04	26.85	0.49	1.07	0.93	0.79
ENSG00000154328:NEIL2	3.54	5.67	10.75	16.19	1.38	3.5	0.27	0.38	0.29	0.62
ENSG00000154330:PGM5	2.22	4.11	1.57	1.54	7.53	6.46	7.61	22.94	1.9	4.04
ENSG00000154342:WNT3A	9.46	8.25	0.05	0	2.88	1.79	0.04	0	0	0
ENSG00000154380:ENAH	9.47	19.04	39.48	21.3	203.93	224.15	3.22	7.02	13.05	0.74
ENSG00000154415:PPP1R3A	0	0	0.01	0	0	0	0.02	0.02	0	0
ENSG00000154438:ASZ1	0.02	0.2	1.32	0.47	1.26	7.57	1.42	2.63	0.18	0.2
ENSG00000154447:SH3RF1	6.06	6.77	5.16	5.6	22.18	28.09	2	6.16	36.83	4.18
ENSG00000154478:GPR26	0.03	0.05	0.08	0.12	0	0	0	0	0.11	0
ENSG00000154479:CFAP210	0.02	0.08	0.63	1.48	0.3	0.08	0.03	0.09	6.92	2.31
ENSG00000154493:C10orf90	3.33	3.06	5.02	2.99	0	0	1.12	3.37	1.4	1.02
ENSG00000154511:DIPK1A	21.89	15.01	23.68	21.96	20.15	23.27	1.43	2.11	1.03	0.55
ENSG00000154553:PDLIM3	7.49	23.06	15.27	7.41	0.17	0.27	0.3	1.6	81.08	34.11
ENSG00000154556:SORBS2	29.51	60.36	82.76	52.81	40.14	17.25	1.99	4.55	153.16	109.71
ENSG00000154582:ELOC	43.91	42.5	88.45	98.38	20.74	18.29	0.2	0.47	50.31	355.2
ENSG00000154611:PSMA8	0.16	0.11	0.46	0.97	0	0.11	0	0	0	0
ENSG00000154642:C21orf91	26.41	22.19	6.14	3.21	3.74	2.2	2.14	2.98	8.63	0.82
ENSG00000154645:CHODL	6.66	13.76	1.45	1.72	0	0.03	0.06	0.15	2.33	0.64
ENSG00000154646:TMPRSS15	0.06	0.08	0.01	0	0.08	0.06	0	0.01	0	0
ENSG00000154654:NCAM2	0.01	0.01	0	0	0.04	0.08	0	0.04	0.03	0
ENSG00000154678:PDE1C	1.19	5.15	0.48	0.36	0.43	0.36	0.06	0.18	1.48	1.07
ENSG00000154710:RABGEF1	16.16	17.66	54.67	37.3	37.04	30.11	3.1	6.37	37.34	11.54
ENSG00000154719:MRPL39	9.93	14.79	12.75	11.13	31.32	32.17	4.76	8.78	20.11	17.79
ENSG00000154723:ATP5PF	100.9	125.56	195.9	236.93	273.37	316.88	6.17	8.29	88.64	227.89
ENSG00000154727:GABPA	27.23	30.56	21.18	20.95	27.67	24.71	4.17	6.8	42.21	38.91
