human_r1	human_r2	mouse_r1	mouse_r2	cattle_r1	cattle_r2	pig_r1	pig_r2	opossum_r1	opossum_r2
ENSG00000007545:CRAMP1	9.14	16.45	32.69	17.57	14.65	13.26	1.08	4.47	3	1.19
ENSG00000007866:TEAD3	119.6	131.32	42.06	28.26	49.14	51.93	3.93	15.51	40.13	29.41
ENSG00000007923:DNAJC11	23.29	30.75	38.24	30.37	27.28	19.89	3.61	8.06	22.56	20.67
ENSG00000007933:FMO3	0.29	0.09	0.05	0.12	0.06	0	0	0	0.03	0.33
ENSG00000007944:MYLIP	108.88	128.97	26.16	38.01	58.01	52.35	13.11	31.47	32.97	33.99
ENSG00000007968:E2F2	1.24	1.21	0.74	1.03	1	1.65	0.04	0.08	2.76	2.24
ENSG00000008018:PSMB1	160.84	153.73	70.28	76.93	271.58	259.66	34.18	56.47	105.95	198.48
ENSG00000008056:SYN1	1.42	2.67	0.28	0.26	1.68	1.52	0.16	0.54	0.46	0.45
ENSG00000008083:JARID2	5.23	6.26	32.96	23.92	22.36	22.55	2.76	8.82	13.98	6.51
ENSG00000008086:CDKL5	3.89	6.24	0.56	1.23	15.07	14.01	3.54	9.75	2.84	1.5
ENSG00000008118:CAMK1G	0.1	0.16	0.23	0.45	6.79	4.04	0.14	0.38	1.04	1.1
ENSG00000008130:NADK	42.29	53.9	96.19	62.06	127.38	107.11	3.17	9.83	283.1	75.81
ENSG00000008196:TFAP2B	0.69	0.33	0	0	0.03	1.03	0.18	0.63	0.05	0.26
ENSG00000008197:TFAP2D	0	0	0	0	0	0	0	0	0	0
ENSG00000008256:CYTH3	72.91	135.39	73.39	40.75	19.67	15.37	2.02	5	20.65	3.21
ENSG00000008277:ADAM22	0.22	0.55	0.85	1.73	0.07	0.07	0.04	0.1	0.09	0
ENSG00000008282:SYPL1	72.53	70.27	75.74	57.48	127.47	105.17	4.66	7.04	13.37	42.4
ENSG00000008283:CYB561	40.64	29.27	25.13	23.54	10.35	8.65	4.24	8.87	7.33	6.29
ENSG00000008294:SPAG9	54.12	58.98	56.5	48.68	34.4	25.39	7.24	14.04	26.83	5.6
ENSG00000008300:CELSR3	0.43	0.44	0.22	0.33	0.15	0.25	0.07	0.11	0.03	0.04
ENSG00000008311:AASS	5.65	12.18	0	1.91	5.9	7.6	0.55	1.22	3.41	1.72
ENSG00000008323:PLEKHG6	36.32	53.61	3.49	10.3	2.84	3.88	0.73	2.17	41.37	37.2
ENSG00000008382:MPND	4.8	4.44	16.03	19.94	11.78	8.94	0.58	1.3	22	24.86
ENSG00000008394:MGST1	2.91	3.77	55.86	385.65	190.43	113.07	11.54	11.41	33.03	70.14
ENSG00000008405:CRY1	15.14	27.99	9.52	10.73	4.46	5.01	2.22	3.95	8.44	7.01
ENSG00000008438:PGLYRP1	0.41	0.2	3.85	7.93	0.57	0.28	0.05	0.07	0.23	4.28
ENSG00000008441:NFIX	3.99	7.65	4.27	4.35	1.4	0.64	0.24	0.82	13.88	2.14
ENSG00000008513:ST3GAL1	41.33	58.41	69.44	71.75	39.03	46.08	1.42	3.4	16.91	5.33
ENSG00000008516:MMP25	0.97	1.09	0.01	0	14.03	15.54	0.37	1.42	0.47	0.9
ENSG00000008710:PKD1	24.89	54.5	46.61	27.6	8.32	7.19	0.86	3.72	1.73	1.47
ENSG00000008735:MAPK8IP2	1.1	1.93	0.1	0.07	7.74	10.37	0.56	1.8	0.04	0.04
ENSG00000008838:MED24	37.3	49.08	21.37	21.87	21.67	22.17	1.01	3.87	7.97	3
ENSG00000008869:HEATR5B	7.94	11.4	17.4	11.05	11.27	10.78	2.8	4.53	4.5	1.27
ENSG00000008952:SEC62	95.94	104.31	97.72	83.42	130.34	144.98	10.32	18	785.83	75.76
ENSG00000009307:CSDE1	223.66	247.63	123.97	100.97	173.65	142.24	33.04	52.57	193.99	71.57
ENSG00000009335:UBE3C	26.73	32.45	22.45	15.67	29.14	26.17	3.14	8.86	15.96	3.45
ENSG00000009413:REV3L	31.66	45.57	7.6	12.6	11.51	6.99	1.46	3.13	5.05	2.86
ENSG00000009694:TENM1	0.01	0.02	0.01	0.02	0.05	0	0.01	0.02	0.05	0.23
ENSG00000009709:PAX7	0	0	0	0	0	0	0	0	0	0
ENSG00000009724:MASP2	4.24	6.11	0	0.22	4.56	4.26	0	0.07	0.15	0.11
ENSG00000009765:IYD	0.23	0.38	0.15	0.05	0.11	0.08	0.47	0.82	0.44	0
ENSG00000009780:FAM76A	5.76	8.2	49.67	34.09	18.72	8.31	7.16	10.72	71.18	21.96
ENSG00000009790:TRAF3IP3	1.03	1.8	1	1.39	1.66	1.47	0.28	0.45	0.44	0.07
ENSG00000009830:POMT2	25.37	32.18	13.76	9.82	15.53	13.28	0.52	1.49	1.36	2.29
ENSG00000009844:VTA1	40.34	43.66	53	45.57	29.24	24.29	6.51	8.32	19.18	9.42
ENSG00000009950:MLXIPL	0.74	1.05	0.41	0.56	26.24	37.43	0.01	0.01	0.3	0.38
ENSG00000009954:BAZ1B	24.44	27.58	40.69	26.17	41.25	41.69	4.76	10.94	39.21	10.26
ENSG00000010017:RANBP9	38.65	50.44	62.99	56.39	51.35	35.86	3.93	7.68	44.23	41.62
ENSG00000010072:SPRTN	8.37	10.83	22.98	14.23	32.66	30.02	0.6	1.68	35.89	3.83
ENSG00000010165:METTL13	6.29	7.16	5.79	4.06	5.72	5.5	1.11	3.06	12.56	10.72
ENSG00000010219:DYRK4	8.2	15.97	0.11	0.11	0	0	0.04	0.1	0.12	0.13
ENSG00000010244:ZNF207	129.13	138.62	73.36	67.15	87.2	85.97	27.88	49.78	77.23	74.63
ENSG00000010256:UQCRC1	90.46	93.37	98.55	78.24	131.5	127.54	25.53	33.2	159.02	179.14
ENSG00000010282:HHATL	0.2	0.75	0.44	0.19	0.52	0.33	0.01	0.01	0	0.15
ENSG00000010292:NCAPD2	19.74	20.37	7.72	5.23	14.85	13.52	0.94	2.88	4.3	3.22
ENSG00000010295:IFFO1	6.67	14.7	11.47	11.13	4.87	6.06	0.47	1.05	30.97	13.11
ENSG00000010310:GIPR	0.09	0.23	0.21	0.35	0.05	0.05	0.04	0.06	0.13	0.21
ENSG00000010318:PHF7	4.05	4.46	3.61	5.5	0.56	0.45	0.04	0.07	0.73	0.83
ENSG00000010319:SEMA3G	19.67	18.57	51.78	52.51	15.77	23.49	8.27	31.08	5.39	1.55
ENSG00000010322:NISCH	34.22	65.81	203.37	171.14	43.8	43.83	3.28	9.21	14.67	14.64
ENSG00000010327:STAB1	21.7	68.03	18.91	45.08	49.86	24.49	3.31	9.51	3.63	4.19
ENSG00000010361:FUZ	6.14	10.14	10.05	12.34	7.05	5.12	0.52	1.03	8.05	32.61
ENSG00000010379:SLC6A13	0.23	0.24	0.8	0.9	0	0	0	0	0.97	1.35
ENSG00000010404:IDS	40.78	41.76	17.01	6.74	15.06	8.35	2.09	6.1	12.36	28.78
ENSG00000010610:CD4	10.22	21.28	0.16	0.38	1.36	0.62	0.29	0.49	0.51	1.33
ENSG00000010626:LRRC23	1.67	2.86	0.76	0.06	0.47	0.66	0.06	0.14	13.87	7.91
ENSG00000010671:BTK	1.88	6.07	0.6	0.41	3.65	2.72	0.58	0.71	2.91	2.7
ENSG00000010803:SCMH1	8.44	14.49	16.22	23.11	11	8.26	0.44	1.39	3.77	3.96
ENSG00000010810:FYN	21.95	32.11	28.48	18.83	8.5	6.91	2.1	5.52	26.33	11.57
ENSG00000010818:HIVEP2	6.8	8.46	10.64	4.72	6.38	4.21	1.74	4.04	3.14	1.32
ENSG00000011021:CLCN6	9.55	18.15	17.44	9.08	2.91	2.81	0.69	3.54	2.23	0.83
ENSG00000011028:MRC2	0.93	5.59	13.32	14.39	51.27	33.21	1.03	4.63	10.23	7.49
ENSG00000011083:SLC6A7	0.02	0	0.08	0.02	0	0	0.02	0.05	0	0.04
ENSG00000011105:TSPAN9	31.46	39.56	421.39	220.79	21.76	17.43	2.1	5.35	313.69	17.43
ENSG00000011114:BTBD7	18.2	21.91	23.27	16.09	17.42	18.62	6.08	11.83	8.14	6.27
ENSG00000011132:APBA3	10.94	15.76	59.98	57.11	65.51	88.01	2.3	6.23	10.63	10.9
ENSG00000011143:MKS1	4.92	6.04	6.68	4.4	3.82	3.48	0.09	0.18	2.69	7.18
ENSG00000011198:ABHD5	53.81	42.29	111.44	88.08	80.93	67.6	3.49	5.74	22.67	15.13
ENSG00000011243:AKAP8L	54.02	84.18	22.25	20.33	63.52	62.05	5.64	12.93	57.97	45.85
ENSG00000011260:UTP18	26.72	22.69	15.25	11.66	24.12	19.28	3.3	5.05	14.14	17.26
ENSG00000011275:RNF216	8.5	11.81	45.9	30.32	6.16	5.52	2.44	8.52	17.42	1.73
ENSG00000011295:TTC19	22.64	25.21	20.68	16.25	22.28	19.92	1.45	4.11	22.39	12.39
ENSG00000011304:PTBP1	88.08	114.89	101.03	83.37	171.9	160.1	20.72	50.77	54.72	15.25
ENSG00000011376:LARS2	5.25	4.97	273.87	1363.97	5.97	6.24	2.44	3.84	4.56	5.77
ENSG00000011422:PLAUR	4.07	7.84	73.14	122.7	88.19	52.14	11.36	19.55	0.53	2.49
ENSG00000011426:ANLN	9.08	8.89	2.99	2.12	27.31	32.33	1.86	2.1	8.76	2.05
ENSG00000011451:WIZ	8.59	12.13	19.04	13.79	15.72	12.91	0.64	2.48	42.02	37.64
ENSG00000011454:RABGAP1	31.22	36.15	28.29	20.79	19.66	18.79	5.64	11	32.02	5.59
ENSG00000011465:DCN	156.64	517.21	1315.64	1303.06	1156.61	879.9	23.51	41.32	101.69	272.69
ENSG00000011478:QPCTL	2.42	3.49	17.31	13.33	12.42	13.37	0.73	1.67	7.41	21.87
ENSG00000011485:PPP5C	26.77	33.81	50.72	49.26	49.15	53.23	1.93	5.98	22.03	58.26
ENSG00000011523:CEP68	13.14	16.68	7.03	5.39	8.3	9.16	2.26	4.15	3.08	1.39
ENSG00000011566:MAP4K3	44	50.44	43.27	26.98	33.79	33.64	2.45	3.95	18.57	3.92
ENSG00000011600:TYROBP	27.27	71.61	19.68	27.38	58.15	52.58	12.05	18.24	1.75	13.26
ENSG00000011638:LDAF1	2.83	4.17	20.89	19.96	31	19.55	4.05	7.5	4.71	9.43
ENSG00000011677:GABRA3	3.12	2.93	0.06	0.04	0.03	0.09	0	0	0	0
ENSG00000012048:BRCA1	3.77	3.33	1.76	1.53	5.94	4.49	0.6	1.19	1.23	0.49
ENSG00000012061:ERCC1	23.45	32.06	57.59	39.62	42.81	37.42	2.22	5.01	11.9	27.86
ENSG00000012124:CD22	1.47	2.19	0.79	0.56	0.08	0.02	0.03	0.1	0.06	0.23
ENSG00000012171:SEMA3B	701.18	793.76	44.12	56.46	1.26	1.89	0.28	0.74	188.54	263.39
ENSG00000012223:LTF	2.6	0.82	11.55	21.29	0.39	0.48	0.13	0.09	336.49	207.56
ENSG00000012232:EXTL3	4.69	8.57	24.11	24.37	8.87	10.49	1.02	3.26	7.2	8.25
ENSG00000012504:NR1H4	0	0.04	0.21	8.5	0.03	0	0.42	0.65	3.28	4.44
ENSG00000012660:ELOVL5	25.12	30.23	51.48	34.69	185.9	225.86	15.84	21.46	18.56	7.28
ENSG00000012779:ALOX5	18.97	45.54	3.54	5.16	8.18	4.64	0.51	1.02	1.45	1.3
ENSG00000012963:UBR7	10.4	11.49	25.45	19.9	24.24	15.45	2.32	4.64	74.61	9.19
ENSG00000012983:MAP4K5	16.1	23.15	49.03	30.83	12.13	12.13	2.33	4.09	13.58	3.39
ENSG00000013016:EHD3	11.83	11.49	13.91	18.94	7.95	7.82	0.81	3.14	4.63	4.88
ENSG00000013275:PSMC4	50.35	58.45	79.43	82.66	94.8	93.51	6.24	13.19	125.68	108.43
ENSG00000013293:SLC7A14	0.13	0.11	2.5	1.82	0	0	0	0.04	0	0
ENSG00000013297:CLDN11	9.72	11.36	44.76	51.2	0.09	0	0.04	0.13	0	0.34
ENSG00000013306:SLC25A39	42.23	47.29	93.74	100.66	61.99	51.7	7.61	24.37	57.89	90.34
ENSG00000013364:MVP	36.13	55.96	100.32	97.7	106.43	93	5.49	10.84	63.06	19.49
